pktTotalSize,pktMeanSize,pktVarSize,pktMinSize,serviceType,windowTotal,windowMean,windowVar,windowMin,windowMax,numberOfRstFlag,numberOfPshFlag,numberOfKeepAlive,numberOfSyncFlood,LABEL
7532,941.5,359.0,40,32029,2176,272.0,0.0,272,272,0,2,0,0,Amazon
7500,937.5,359.0,40,32030,2176,272.0,0.0,272,272,0,1,0,0,Amazon
1403,175.375,220.25,40,32026,27725,3465.625,6693.25,110,26883,0,6,0,0,Amazon
9948,1243.5,465.0,40,32031,1088,136.0,0.0,136,136,0,3,0,0,Amazon
902,112.75,145.5,40,31965,4170,521.25,8.75,501,536,0,1,0,0,Amazon
1231,153.875,135.75,40,31999,15332,1916.5,62.5,1783,2033,0,2,0,0,Amazon
8879,1109.875,688.25,40,31987,7176,897.0,0.0,897,897,0,4,0,0,Amazon
915,114.375,97.0,40,31985,8718,1089.75,14.0,1066,1122,0,4,0,0,Amazon
1318,164.75,232.5,40,32009,18269,2283.625,57.0,2155,2383,0,3,0,0,Amazon
6120,765.0,362.0,40,32032,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
11045,1380.625,190.75,713,32014,2224,278.0,0.0,278,278,0,3,0,0,Amazon
7327,915.875,359.0,40,31977,1312,164.0,0.0,164,164,0,2,0,0,Amazon
5103,637.875,362.0,40,32033,28461,3557.625,6666.0,219,26883,0,2,0,0,Amazon
6120,765.0,362.0,40,32034,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32035,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
1578,197.25,314.5,40,31986,18316,2289.5,117.0,2040,2508,0,2,0,0,Amazon
778,97.25,87.75,40,31998,3547,443.375,161.25,118,763,0,5,0,0,Amazon
5085,635.625,427.5,40,32036,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
320,40.0,0.0,40,32001,34192,4274.0,138.0,3988,4540,0,0,0,0,Amazon
5382,672.75,362.0,40,32015,66459,8307.375,16351.0,131,65535,0,2,0,0,Amazon
6818,852.25,718.0,40,32037,66464,8308.0,16351.0,131,65535,0,5,0,0,Amazon
5103,637.875,371.75,40,32038,28440,3555.0,6666.0,219,26883,0,2,0,0,Amazon
6120,765.0,362.0,40,32039,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,32040,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6188,773.5,362.0,40,32041,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
4108,513.5,431.5,40,32042,59822,7477.75,7240.75,237,29200,0,2,0,0,Amazon
6300,787.5,362.0,40,32059,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5110,638.75,363.75,40,32061,26932,3366.5,6719.0,7,26883,0,4,0,0,Amazon
5425,678.125,362.0,40,32062,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6195,774.375,423.5,40,32063,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
6264,783.0,359.0,40,32066,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6264,783.0,359.0,40,32065,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6273,784.125,359.0,40,32064,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6417,802.125,340.0,40,32067,11254,1406.75,1941.5,424,8190,0,1,0,0,Amazon
5213,651.625,343.0,40,32068,11310,1413.75,1941.5,424,8190,0,1,0,0,Amazon
5461,682.625,374.5,40,32074,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
6188,773.5,362.0,40,32078,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6079,759.875,363.0,40,32077,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
5103,637.875,371.75,40,32081,28438,3554.75,6666.0,219,26883,0,2,0,0,Amazon
5154,644.25,384.75,40,32084,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6504,813.0,362.0,40,32085,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
5403,675.375,362.0,40,32087,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6300,787.5,362.0,40,32094,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5487,685.875,374.5,40,32096,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
6417,802.125,340.0,40,32097,11254,1406.75,1941.5,424,8190,0,1,0,0,Amazon
6195,774.375,423.5,40,32098,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
6264,783.0,359.0,40,32100,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
6264,783.0,359.0,40,32101,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
